"","Kingdom","Phylum","Class","Order","Family","Genus"
"OTU.1084","Bacteria","Planctomycetes","vadinHA49",NA,NA,NA
"OTU.1085","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","B1-7BS",NA
"OTU.1088","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27_clade"
"OTU.1089","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"OTU.1090","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Rubinisphaeraceae",NA
"OTU.1091","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Parachlamydiaceae","Neochlamydia"
"OTU.1092","Bacteria",NA,NA,NA,NA,NA
"OTU.1093","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Salinispira"
"OTU.1094","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chitinibacteraceae","Iodobacter"
"OTU.1095","Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA
"OTU.1096","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"OTU.1097","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"OTU.1098","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium"
"OTU.1099","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA
"OTU.1100","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","SWB02"
"OTU.1101","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Rhizorhapis"
"OTU.1104","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Phaselicystidaceae","Phaselicystis"
"OTU.1106","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"OTU.1107","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.1108","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae",NA
"OTU.1109","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"OTU.1110","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Blfdi19",NA
"OTU.1111","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA
"OTU.1114","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"OTU.1115","Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA
"OTU.1116","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Azospirillum"
"OTU.1117","Bacteria","Patescibacteria",NA,NA,NA,NA
"OTU.1119","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"OTU.1120","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"OTU.1122","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"OTU.1124","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.1127","Bacteria","Patescibacteria","Gracilibacteria",NA,NA,NA
"OTU.1128","Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales",NA,NA
"OTU.1131","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Lacibacter"
"OTU.1132","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27_clade"
"OTU.1133","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae","IMCC26207"
"OTU.1134","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter"
"OTU.1135","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12",NA
"OTU.1136","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","AKYH767",NA
